TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE
1611661325,IND,Indiana Fever,2026,32,20,202.3,33.4,68.8,10.2,26.4,18.9,23.0,8.1,25.5,33.6,20.8,15.4,6.7,4.0,22.0,95.9,5.5,12,0.625,0.485,0.387,0.824,102.2
1611661327,PDX,Portland Fire,2026,32,13,203.1,30.8,67.8,10.2,28.7,15.2,18.6,7.5,22.1,29.6,20.8,15.4,7.4,3.7,22.2,87.0,-4.8,19,0.406,0.454,0.356,0.818,99.0
1611661328,SEA,Seattle Storm,2024,40,25,201.2,31.0,71.3,6.0,21.0,15.1,18.0,8.6,26.0,34.6,20.6,13.1,9.3,5.2,16.5,83.2,4.5,15,0.625,0.435,0.288,0.84,99.7
1611661328,SEA,Seattle Storm,2025,44,23,201.1,31.1,69.2,7.5,22.1,12.3,16.0,6.9,24.0,30.9,21.3,12.2,8.5,5.1,17.1,82.1,2.0,21,0.523,0.45,0.342,0.771,97.3
1611661328,SEA,Seattle Storm,2026,34,6,200.7,29.7,68.5,8.5,26.1,15.0,19.0,8.3,25.1,33.3,19.2,14.8,7.6,4.3,20.1,83.0,-5.7,28,0.176,0.434,0.324,0.791,99.7
1611661329,CHI,Chicago Sky,2024,40,13,200.0,29.7,70.3,4.8,14.9,13.2,17.8,10.8,25.8,36.6,19.0,14.3,7.0,3.8,19.0,77.4,-5.1,27,0.325,0.422,0.323,0.742,97.9
1611661329,CHI,Chicago Sky,2025,44,10,200.0,28.0,66.0,6.7,20.2,13.0,17.1,9.8,25.7,35.5,19.3,16.9,6.0,4.2,17.8,75.8,-10.0,34,0.227,0.425,0.33,0.763,96.8
1611661329,CHI,Chicago Sky,2026,32,12,201.6,31.2,69.8,7.6,23.2,18.2,23.8,7.8,25.0,32.8,21.7,13.1,7.1,4.7,21.3,88.2,-1.7,20,0.375,0.447,0.326,0.764,101.9
1611661330,ATL,Atlanta Dream,2024,40,15,201.9,27.8,68.1,6.0,19.4,15.4,20.0,9.2,26.9,36.1,18.4,13.8,7.2,3.7,16.8,77.0,-2.8,25,0.375,0.408,0.308,0.771,96.8
1611661330,ATL,Atlanta Dream,2025,44,30,200.6,30.1,67.8,9.6,28.4,14.7,18.7,8.9,27.7,36.6,21.4,12.5,6.8,4.5,15.8,84.4,7.6,14,0.682,0.443,0.337,0.786,95.4
1611661330,ATL,Atlanta Dream,2026,31,19,200.0,30.8,71.0,8.1,26.4,19.2,24.8,11.1,23.7,34.9,20.6,13.9,9.2,3.2,19.7,89.0,3.3,12,0.613,0.434,0.308,0.775,101.7
1611661331,GSV,Golden State Valkyries,2025,44,23,200.6,26.5,65.2,9.7,29.9,15.0,18.4,8.7,26.6,35.3,18.5,14.2,6.8,2.9,17.5,77.7,1.4,21,0.523,0.407,0.325,0.815,94.1
1611661331,GSV,Golden State Valkyries,2026,32,23,200.0,28.8,67.9,10.9,30.8,14.8,19.0,9.2,23.4,32.5,19.2,11.4,7.6,4.0,19.8,83.3,6.2,9,0.719,0.425,0.353,0.776,94.1
1611661332,TOR,Toronto Tempo,2026,31,10,200.8,30.2,67.5,10.1,28.2,17.0,20.7,8.1,23.1,31.2,20.2,14.6,7.1,3.1,21.4,87.4,-6.3,21,0.323,0.447,0.357,0.82,99.4
