TEAM_ABBREVIATION,SEASON,POSITION,GP,PTS,AST,REB,FG3M,PTS_RANK,AST_RANK,REB_RANK,FG3M_RANK
NYL,2024,C,53,12.1,2.1,7.5,0.3,1,1,1,1
NYL,2024,F,285,6.5,1.6,2.6,0.7,3,4,2,2
NYL,2024,G,45,12.6,4.6,3.5,1.5,4,1,8,8
NYL,2025,C,51,14.6,2.8,8.3,0.4,7,7,9,1
NYL,2025,F,295,6.9,1.5,2.9,0.9,9,5,6,10
NYL,2025,G,61,12.6,4.8,4.3,1.4,3,5,13,4
NYL,2026,C,33,15.2,3.7,7.5,0.5,5,14,1,3
NYL,2026,F,249,7.3,1.4,2.6,0.9,13,7,6,13
NYL,2026,G,40,13.9,5.7,2.9,1.5,6,10,4,3
PDX,2026,C,37,18.5,3.0,9.6,0.8,15,7,13,11
PDX,2026,F,243,7.1,1.7,2.4,0.8,8,15,2,8
PDX,2026,G,41,12.9,5.8,3.2,1.8,2,13,7,13
PHO,2024,C,52,16.2,2.8,8.9,0.8,10,7,8,12
PHO,2024,F,280,6.7,1.7,2.9,0.8,6,10,9,7
PHO,2024,G,47,14.3,5.5,4.1,2.2,10,11,12,12
PHX,2025,C,53,13.5,2.3,8.4,0.4,2,1,10,1
PHX,2025,F,294,6.2,1.3,2.9,0.8,2,1,6,5
PHX,2025,G,72,13.8,5.0,3.4,1.4,8,7,5,4
PHX,2026,C,33,14.4,3.1,8.8,0.8,2,9,8,11
PHX,2026,F,258,7.1,1.4,2.8,0.8,8,7,11,8
PHX,2026,G,45,14.6,6.1,3.4,2.1,10,14,11,15
SEA,2024,C,51,15.4,2.5,9.6,0.6,7,4,12,9
SEA,2024,F,275,6.5,1.5,2.9,0.7,3,2,9,2
SEA,2024,G,49,11.5,4.7,3.3,1.3,3,3,5,4
SEA,2025,C,51,14.3,2.7,8.0,0.4,5,3,6,1
SEA,2025,F,308,6.7,1.5,3.2,0.7,7,5,13,3
SEA,2025,G,53,13.9,5.0,3.8,1.6,11,7,11,10
SEA,2026,C,36,15.9,2.7,8.5,0.9,10,4,5,14
SEA,2026,F,254,7.1,1.5,3.0,0.8,8,11,15,8
SEA,2026,G,40,15.7,5.7,3.6,1.6,15,10,14,7
TOR,2026,C,36,15.9,2.7,9.2,0.6,10,4,12,7
TOR,2026,F,237,7.1,1.4,2.6,0.8,8,7,6,8
TOR,2026,G,42,15.4,6.3,2.9,1.6,14,15,4,7
WAS,2024,C,57,14.0,2.5,8.4,0.5,3,4,4,5
WAS,2024,F,283,6.7,1.6,2.7,0.8,6,4,5,7
WAS,2024,G,46,13.2,4.7,3.7,1.4,7,3,11,6
WAS,2025,C,50,15.4,2.7,7.7,0.6,10,3,3,6
WAS,2025,F,299,7.0,1.5,2.7,0.8,11,5,2,5
WAS,2025,G,62,11.6,5.0,3.7,1.1,1,7,10,1
WAS,2026,C,27,14.6,3.4,9.7,0.6,3,12,14,7
WAS,2026,F,244,6.3,1.3,2.4,0.7,2,2,2,1
WAS,2026,G,43,14.7,4.3,2.7,1.7,11,1,2,10
