PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,SEASON
1630202,Payton Pritchard,BOS,G,2025-26
1629060,Rui Hachimura,LAL,F,2025-26
1642273,Kyshawn George,WAS,F,2025-26
1641731,Bilal Coulibaly,WAS,F,2025-26
1641750,Ryan Kalkbrenner,CHA,F,2025-26
1641774,Tristan Vukcevic,WAS,F,2025-26
1641790,PJ Hall,CHA,F,2025-26
1642267,Bub Carrington,WAS,G,2025-26
1642364,Jamir Watkins,WAS,F,2025-26
1642275,Tidjane Salaun,CHA,F,2025-26
1642848,Tre Johnson,WAS,F,2025-26
1642851,Kon Knueppel,CHA,F,2025-26
1642860,Will Riley,WAS,F,2025-26
1641706,Brandon Miller,CHA,F,2025-26
1642883,Sion James,CHA,F,2025-26
1631217,Moussa Diabate,CHA,C,2025-26
1631214,Alondes Williams,WAS,C,2025-26
1630182,Josh Green,CHA,F,2025-26
1630702,Jaden Hardy,WAS,F,2025-26
1628970,Miles Bridges,CHA,F,2025-26
1629684,Grant Williams,CHA,F,2025-26
1630163,LaMelo Ball,CHA,G,2025-26
1626192,Pat Connaughton,CHA,F,2025-26
1630214,Xavier Tillman,CHA,F,2025-26
1630264,Anthony Gill,WAS,F,2025-26
1630536,Sharife Cooper,WAS,F,2025-26
1630544,Tre Mann,CHA,F,2025-26
1630551,Justin Champagnie,WAS,F,2025-26
1631108,Max Christie,DAL,F,2025-26
204456,T.J. McConnell,IND,G,2025-26
203939,Dwight Powell,DAL,F,2025-26
203114,Khris Middleton,DAL,F,2025-26
202691,Klay Thompson,DAL,F,2025-26
1642939,Miles Kelly,DAL,F,2025-26
1642880,Kam Jones,IND,F,2025-26
1642358,AJ Johnson,DAL,F,2025-26
1641738,Kobe Brown,IND,F,2025-26
1641716,Jarace Walker,IND,F,2025-26
1631245,Quenton Jackson,IND,F,2025-26
1641767,Ben Sheppard,IND,F,2025-26
1630695,Micah Potter,IND,F,2025-26
1629614,Andrew Nembhard,IND,G,2025-26
1630643,Jay Huff,IND,F,2025-26
1627783,Pascal Siakam,IND,F,2025-26
1628997,Caleb Martin,DAL,F,2025-26
1629023,P.J. Washington,DAL,F,2025-26
1628963,Marvin Bagley III,DAL,F,2025-26
1629655,Daniel Gafford,DAL,F,2025-26
1630174,Aaron Nesmith,IND,F,2025-26
1626145,Tyus Jones,DAL,F,2025-26
1630230,Naji Marshall,DAL,F,2025-26
1630314,Brandon Williams,DAL,F,2025-26
202066,Garrett Temple,TOR,F,2025-26
1629661,Cameron Johnson,DEN,F,2025-26
1629001,De'Anthony Melton,GSW,F,2025-26
1628971,Bruce Brown,DEN,F,2025-26
1627780,Gary Payton II,GSW,F,2025-26
1627750,Jamal Murray,DEN,G,2025-26
203914,Gary Harris,MIL,F,2025-26
203648,Thanasis Antetokounmpo,MIL,F,2025-26
1641711,Gradey Dick,TOR,F,2025-26
1642867,Collin Murray-Boyles,TOR,F,2025-26
