TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
HOU,F,2024-25,6.538461538461538,2.1538461538461537,0.9230769230769231,0.8461538461538461,21,29,22,17
HOU,F,2025-26,8.125,4.25,0.5,0.875,19,9,30,23
IND,C,2023-24,21.142857142857142,6.857142857142857,2.142857142857143,0.8571428571428571,6,23,29,20
IND,C,2024-25,25.0,6.0,3.4,1.8,3,17,17,7
IND,C,2025-26,25.5,8.25,3.75,1.25,9,17,22,16
IND,F,2023-24,6.285714285714286,3.0,1.5714285714285714,0.14285714285714285,14,20,2,26
IND,F,2024-25,8.25,3.0,0.8125,0.75,7,16,25,20
IND,F,2025-26,8.857142857142858,4.714285714285714,2.2857142857142856,1.0,12,5,3,18
LAC,C,2023-24,10.4,8.0,3.4,0.8,29,17,20,22
LAC,C,2024-25,13.6,5.0,2.8,1.4,22,21,19,14
LAC,C,2025-26,30.333333333333332,6.666666666666667,3.6666666666666665,2.3333333333333335,3,24,23,5
LAC,F,2023-24,4.285714285714286,2.2857142857142856,0.7142857142857143,0.0,27,27,22,28
LAC,F,2024-25,6.615384615384615,3.1538461538461537,1.3846153846153846,0.9230769230769231,18,15,12,13
LAC,F,2025-26,10.3,4.1,1.1,1.0,6,12,22,18
LAL,C,2023-24,10.714285714285714,10.428571428571429,4.571428571428571,0.42857142857142855,28,7,6,26
LAL,C,2024-25,11.0,7.5,3.1666666666666665,1.1666666666666667,26,10,18,18
LAL,C,2025-26,16.5,9.0,5.75,1.25,21,13,9,16
LAL,F,2023-24,4.8,2.8,0.8,0.6,23,23,20,5
LAL,F,2024-25,8.181818181818182,2.1818181818181817,1.3636363636363635,1.0909090909090908,8,28,14,10
LAL,F,2025-26,13.333333333333334,4.166666666666667,2.5,2.1666666666666665,2,10,2,2
MEM,C,2023-24,12.5,11.25,4.25,0.5,26,4,10,25
MEM,C,2024-25,22.0,3.0,6.0,2.0,5,29,3,5
MEM,C,2025-26,16.0,11.5,6.5,1.0,23,1,4,18
MEM,F,2023-24,5.555555555555555,2.4444444444444446,0.3333333333333333,0.3333333333333333,16,26,30,17
MEM,F,2024-25,5.222222222222222,4.0,0.5555555555555556,0.8888888888888888,27,7,30,15
MEM,F,2025-26,3.4444444444444446,3.0,0.6666666666666666,0.1111111111111111,30,27,28,30
MIA,C,2023-24,15.4,7.2,2.4,2.0,19,20,27,3
MIA,C,2024-25,16.8,7.8,2.2,1.8,14,9,25,7
MIA,C,2025-26,24.666666666666668,8.666666666666666,6.333333333333333,1.6666666666666667,11,16,5,11
MIA,F,2023-24,7.0,4.0,1.2857142857142858,0.2857142857142857,9,7,8,20
MIA,F,2024-25,4.777777777777778,3.0,1.5555555555555556,0.5555555555555556,30,16,8,29
MIA,F,2025-26,7.0,3.2,1.2,0.9,25,24,21,21
MIL,C,2023-24,14.833333333333334,6.666666666666667,4.333333333333333,0.8333333333333334,21,24,9,21
MIL,C,2024-25,23.0,4.666666666666667,3.6666666666666665,1.3333333333333333,4,22,15,15
