SEASON,GP,W,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_PTS,PLUS_MINUS,MIN,L,W_PCT,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PF_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,OPP_BLKA,OPP_PFD,OPP_BLKA_RANK,OPP_PFD_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
2023-24,78,48,42.8,90.4,13.2,35.9,16.4,21.3,10.7,34.4,45.1,27.4,13.7,7.3,4.0,20.2,115.2,2.4,240.3,30,0.615,0.473,0.369,0.768,1,6,24,6,26,20,21,17,19,18,18,10,13,3,14,26,25,22,15,13,2,29,19,10,0.0,0.0,1,1,1610612742,Dallas Mavericks,DAL
2024-25,82,39,43.1,91.7,12.9,35.4,16.4,21.1,12.1,33.2,45.3,27.1,12.6,8.1,4.6,18.7,115.4,-1.2,240.6,43,0.476,0.469,0.363,0.779,2,18,12,18,23,23,24,18,5,4,18,10,9,16,28,16,25,19,9,15,12,14,21,19,0.0,0.0,1,1,1610612742,Dallas Mavericks,DAL
2025-26,56,20,44.1,94.2,12.3,36.1,17.3,22.2,12.4,34.6,47.1,27.5,12.8,8.9,5.1,21.1,117.7,-3.5,242.2,36,0.357,0.467,0.342,0.778,20,24,7,24,5,26,30,12,4,10,1,7,9,9,28,27,28,23,6,22,19,24,21,23,0.0,0.0,1,1,1610612742,Dallas Mavericks,DAL
2023-24,78,55,40.6,88.1,11.1,31.6,17.2,22.3,11.0,31.3,42.3,25.7,12.3,6.9,4.8,17.8,109.6,5.4,240.3,23,0.705,0.461,0.351,0.772,1,3,28,3,26,7,13,4,2,2,4,15,22,6,23,7,7,8,3,9,9,3,6,4,0.0,0.0,1,1,1610612743,Denver Nuggets,DEN
2024-25,82,50,43.3,93.0,14.1,38.7,16.1,20.7,11.7,30.7,42.5,29.0,12.4,8.7,5.1,19.0,116.9,3.9,242.1,32,0.61,0.466,0.365,0.777,2,6,22,7,4,24,28,12,20,21,23,8,8,13,24,1,6,29,7,20,18,21,24,9,0.0,0.0,1,1,1610612743,Denver Nuggets,DEN
2025-26,58,36,42.3,90.6,13.4,38.2,18.2,23.4,11.6,31.0,42.6,26.9,11.6,7.8,4.6,21.7,116.3,4.5,242.6,22,0.621,0.467,0.351,0.776,2,6,22,6,3,18,21,12,17,21,8,14,14,7,17,7,8,14,1,5,8,27,19,7,0.0,0.0,1,1,1610612743,Denver Nuggets,DEN
2023-24,78,44,42.1,90.5,13.2,36.9,17.6,22.2,10.9,32.1,43.0,26.7,12.8,7.7,5.0,17.8,114.9,1.9,241.9,34,0.564,0.465,0.359,0.79,1,12,16,13,7,17,22,7,19,23,10,22,21,20,20,8,12,15,7,20,15,3,18,13,0.0,0.0,1,1,1610612744,Golden State Warriors,GSW
2024-25,82,48,40.4,86.9,13.2,36.3,16.4,21.4,10.6,33.5,44.1,25.9,14.9,7.6,5.4,18.6,110.5,3.3,240.6,34,0.585,0.465,0.363,0.769,2,11,18,11,23,5,5,10,11,8,18,10,13,5,7,19,15,10,26,8,24,13,8,10,0.0,0.0,1,1,1610612744,Golden State Warriors,GSW
2025-26,57,30,41.8,88.6,12.5,35.6,17.6,22.1,11.6,33.2,44.9,26.9,15.4,8.7,4.2,18.5,113.9,1.8,240.9,27,0.526,0.472,0.352,0.8,15,15,15,16,19,14,13,18,7,8,9,9,7,27,17,17,18,14,27,16,4,4,11,13,0.0,0.0,1,1,1610612744,Golden State Warriors,GSW
2023-24,78,39,41.0,88.3,12.5,35.7,19.2,25.0,10.7,34.2,44.9,24.6,13.8,7.3,5.9,19.6,113.7,1.1,242.2,39,0.5,0.465,0.35,0.767,1,19,11,19,4,10,14,7,10,16,2,28,29,2,14,25,24,3,18,13,24,25,15,18,0.0,0.0,1,1,1610612745,Houston Rockets,HOU
2024-25,81,51,40.6,88.3,12.3,34.4,16.5,21.7,10.6,31.6,42.2,23.5,13.6,7.9,5.7,19.2,110.0,4.5,241.2,30,0.63,0.459,0.359,0.759,24,4,27,4,14,8,11,6,2,2,11,12,16,1,7,3,3,2,16,11,28,24,6,6,0.0,0.0,1,1,1610612745,Houston Rockets,HOU
2025-26,55,34,40.3,87.9,12.3,35.1,16.7,22.0,11.4,28.3,39.7,24.5,13.0,9.0,4.7,20.2,109.4,4.9,243.2,21,0.618,0.458,0.349,0.757,27,9,25,8,2,6,10,6,4,5,7,3,6,2,14,1,2,2,8,24,13,15,4,6,0.0,0.0,1,1,1610612745,Houston Rockets,HOU
2023-24,78,50,41.6,89.0,12.9,35.7,16.0,20.7,11.1,31.1,42.1,26.4,13.0,7.4,4.8,18.6,112.1,3.5,240.3,28,0.641,0.467,0.362,0.775,1,5,26,5,26,14,16,11,14,16,14,8,9,8,25,4,5,11,9,16,9,15,10,7,0.0,0.0,1,1,1610612746,Los Angeles Clippers,LAC
2024-25,81,49,39.5,85.7,13.1,37.1,16.3,21.2,9.7,31.8,41.5,25.7,14.4,8.9,4.3,17.8,108.5,4.3,241.5,32,0.605,0.462,0.352,0.771,24,8,22,9,9,3,3,9,9,10,6,9,11,7,2,5,1,9,23,23,5,5,4,7,0.0,0.0,1,1,1610612746,Los Angeles Clippers,LAC
2025-26,57,27,40.8,87.5,13.5,36.6,17.5,21.9,11.3,30.6,41.9,26.0,13.0,8.9,4.7,19.9,112.6,-0.5,241.3,30,0.474,0.467,0.369,0.797,15,19,13,19,11,8,7,12,19,15,25,8,4,24,11,5,5,10,8,22,13,12,9,18,0.0,0.0,1,1,1610612746,Los Angeles Clippers,LAC
2023-24,76,41,45.0,93.8,14.4,37.9,14.3,17.9,10.7,33.4,44.1,28.6,13.3,8.2,4.8,19.7,118.7,-0.9,242.3,35,0.539,0.479,0.38,0.8,27,17,13,17,2,28,30,20,28,28,27,2,2,28,14,17,19,26,12,25,9,27,24,19,0.0,0.0,1,1,1610612747,Los Angeles Lakers,LAL
2024-25,80,49,41.5,89.2,13.5,37.9,15.9,20.6,11.3,31.7,43.0,27.3,12.9,8.2,4.2,19.3,112.4,1.1,240.6,31,0.612,0.465,0.356,0.773,29,8,25,6,23,13,16,10,13,16,10,6,7,8,17,4,9,21,11,17,4,26,11,14,0.0,0.0,1,1,1610612747,Los Angeles Lakers,LAL
2025-26,56,34,42.8,87.8,13.4,36.6,17.1,21.8,10.7,30.1,40.8,27.5,13.9,9.1,3.6,21.2,116.1,-0.4,240.0,22,0.607,0.487,0.365,0.787,20,9,22,9,30,20,9,27,17,15,21,5,3,19,5,4,3,23,15,26,1,26,18,17,0.0,0.0,1,1,1610612747,Los Angeles Lakers,LAL
