SEASON,GP,W,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_PTS,PLUS_MINUS,MIN,L,W_PCT,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PF_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,OPP_BLKA,OPP_PFD,OPP_BLKA_RANK,OPP_PFD_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
2025-26,58,12,44.2,89.3,13.1,35.9,19.6,24.9,11.4,33.4,44.9,27.6,13.4,8.7,4.8,18.8,121.1,-11.1,241.3,46,0.207,0.495,0.364,0.786,2,30,1,30,11,28,16,30,13,9,20,25,25,18,14,21,18,26,14,16,16,8,28,30,0.0,0.0,1,1,1610612758,Sacramento Kings,SAC
2023-24,78,22,45.0,92.7,12.5,33.9,15.9,20.3,10.7,34.8,45.4,27.9,13.2,8.9,4.7,17.8,118.4,-6.4,241.9,56,0.282,0.485,0.37,0.783,1,26,5,26,7,28,28,22,10,9,21,6,6,14,14,28,27,24,10,29,7,3,23,24,0.0,0.0,1,1,1610612759,San Antonio Spurs,SAN
2024-25,81,34,43.8,92.6,14.2,39.1,14.6,18.6,12.2,34.1,46.3,27.9,12.9,8.0,4.3,17.5,115.1,-2.5,240.6,47,0.42,0.474,0.364,0.789,24,23,8,23,23,28,26,22,21,22,20,3,3,23,29,27,29,23,11,13,5,3,17,21,0.0,0.0,1,1,1610612759,San Antonio Spurs,SAN
2025-26,56,40,41.2,90.8,13.1,36.4,16.4,20.9,10.5,32.4,42.8,26.6,12.8,7.8,4.6,20.8,112.0,6.5,240.4,16,0.714,0.454,0.359,0.785,20,3,28,3,28,10,23,4,13,13,15,1,2,17,4,13,9,12,6,5,8,22,8,4,0.0,0.0,1,1,1610612759,San Antonio Spurs,SAN
2023-24,78,56,40.7,89.3,13.4,37.2,18.1,22.9,11.7,32.9,44.6,26.9,15.5,7.1,5.0,18.9,112.8,7.3,241.6,22,0.718,0.455,0.361,0.789,1,2,29,2,10,9,18,3,23,26,12,23,23,18,29,13,23,18,30,10,15,17,12,2,0.0,0.0,1,1,1610612760,Oklahoma City Thunder,OKC
2024-25,83,68,37.9,86.9,13.5,39.3,18.3,23.6,11.6,33.4,45.0,24.6,16.3,6.7,4.8,18.1,107.5,12.5,240.3,15,0.819,0.436,0.343,0.773,1,1,30,1,29,1,5,1,13,24,1,25,25,8,23,18,20,4,30,1,14,7,3,1,0.0,0.0,1,1,1610612760,Oklahoma City Thunder,OKC
2025-26,58,44,38.3,88.1,14.3,38.9,16.9,22.6,12.2,33.2,45.3,24.9,16.2,7.6,4.3,21.1,107.7,11.7,242.2,14,0.759,0.435,0.367,0.748,2,1,29,2,5,2,12,1,27,24,24,4,11,1,27,17,23,6,29,4,6,24,1,1,0.0,0.0,1,1,1610612760,Oklahoma City Thunder,OKC
2023-24,78,24,44.8,91.2,13.7,36.4,15.7,19.9,11.2,34.0,45.2,28.7,13.9,7.3,5.8,18.2,119.0,-6.5,241.6,54,0.308,0.491,0.376,0.79,1,25,6,25,10,27,24,26,26,21,25,5,4,20,27,23,26,27,19,13,23,11,26,25,0.0,0.0,1,1,1610612761,Toronto Raptors,TOR
2024-25,82,30,41.2,88.3,13.2,37.7,19.6,25.2,11.5,33.5,45.0,25.9,14.2,9.2,5.9,18.1,115.2,-4.3,241.5,52,0.366,0.466,0.349,0.778,2,24,7,24,9,10,11,12,11,15,4,30,30,15,18,19,20,10,20,27,29,7,19,24,0.0,0.0,1,1,1610612761,Toronto Raptors,TOR
2025-26,57,34,39.8,86.4,12.8,37.1,19.5,24.4,11.2,32.4,43.6,24.5,15.1,7.9,5.3,19.5,111.7,2.1,241.8,23,0.596,0.46,0.344,0.8,15,9,20,11,9,4,4,8,10,18,3,24,20,27,10,13,13,2,25,8,22,10,6,11,0.0,0.0,1,1,1610612761,Toronto Raptors,TOR
2023-24,78,29,44.6,91.6,14.8,37.5,16.6,21.6,11.0,31.2,42.3,29.8,12.3,8.8,6.5,19.3,120.6,-5.0,241.6,49,0.372,0.486,0.395,0.77,1,22,8,22,10,26,25,23,30,27,30,13,16,4,23,5,7,30,3,27,30,23,29,23,0.0,0.0,1,1,1610612762,Utah Jazz,UTA
2024-25,82,16,44.6,93.0,14.9,41.5,17.3,22.6,11.7,32.7,44.3,29.6,11.2,9.8,6.5,19.3,119.9,-9.7,241.5,66,0.195,0.48,0.359,0.763,2,30,1,30,9,30,28,26,30,30,11,20,22,2,24,12,18,30,1,30,30,26,30,29,0.0,0.0,1,1,1610612762,Utah Jazz,UTA
2025-26,57,18,44.6,91.4,15.5,41.6,21.3,27.5,11.8,33.2,44.9,30.3,13.2,9.2,5.9,20.6,125.9,-7.7,242.6,39,0.316,0.488,0.371,0.773,15,25,6,25,3,30,25,28,30,30,27,29,29,4,20,17,18,30,12,28,28,21,30,27,0.0,0.0,1,1,1610612762,Utah Jazz,UTA
2023-24,78,27,41.2,87.2,13.3,35.5,16.6,21.4,10.7,34.9,45.6,26.7,15.0,8.1,6.4,19.0,112.4,-6.6,241.0,51,0.346,0.473,0.375,0.778,1,24,7,24,19,12,10,17,22,14,24,13,15,9,14,29,29,15,29,24,28,20,11,26,0.0,0.0,1,1,1610612763,Memphis Grizzlies,MEM
2024-25,82,48,41.9,91.8,14.2,39.4,18.9,24.5,11.5,32.0,43.7,27.0,14.6,8.7,5.5,20.2,116.9,4.9,240.3,34,0.585,0.456,0.36,0.77,2,11,18,11,29,19,25,4,21,25,14,28,29,6,18,8,11,17,25,20,25,29,24,5,0.0,0.0,1,1,1610612763,Memphis Grizzlies,MEM
2025-26,55,21,42.9,91.2,14.3,39.5,17.7,22.5,11.9,33.4,45.3,27.3,14.6,8.6,4.9,20.3,117.7,-2.3,240.9,34,0.382,0.47,0.362,0.787,27,23,8,23,19,22,24,15,27,27,19,11,10,19,23,21,23,21,20,15,17,17,21,20,0.0,0.0,1,1,1610612763,Memphis Grizzlies,MEM
2023-24,78,15,46.0,92.9,12.3,34.1,18.7,24.0,12.0,36.9,48.9,29.0,14.1,8.0,6.1,17.9,123.0,-9.3,240.6,63,0.192,0.495,0.362,0.779,1,29,2,29,23,30,29,29,8,11,14,26,27,11,30,30,30,29,23,22,26,8,30,29,0.0,0.0,1,1,1610612764,Washington Wizards,WAS
2024-25,82,19,43.6,92.9,14.2,39.1,18.9,23.7,13.0,36.0,49.0,28.4,12.3,9.1,5.3,18.2,118.9,-12.4,240.6,63,0.232,0.47,0.364,0.795,2,28,2,28,23,26,27,19,21,22,20,28,27,28,30,30,30,26,6,26,22,9,26,30,0.0,0.0,1,1,1610612764,Washington Wizards,WAS
2025-26,56,16,44.1,92.5,14.2,38.4,20.4,25.7,13.3,34.4,47.8,28.7,13.1,9.8,5.5,17.4,122.8,-10.3,240.9,40,0.286,0.477,0.369,0.792,20,26,5,26,19,26,27,22,25,22,25,27,27,21,30,26,30,29,10,29,26,1,29,29,0.0,0.0,1,1,1610612764,Washington Wizards,WAS
2023-24,78,14,43.7,89.1,12.1,32.8,19.4,24.4,9.6,33.6,43.2,27.2,12.5,8.8,5.9,17.8,118.9,-9.0,241.0,64,0.179,0.49,0.369,0.796,1,30,1,30,19,23,17,24,7,5,18,29,28,26,4,20,13,21,5,27,24,3,25,27,0.0,0.0,1,1,1610612765,Detroit Pistons,DET
2024-25,82,44,40.6,87.9,13.6,37.2,18.8,24.3,10.5,31.9,42.5,24.8,14.2,8.9,5.0,18.9,113.6,1.9,241.5,38,0.537,0.461,0.366,0.776,2,14,17,14,9,8,9,8,16,12,25,27,28,11,6,7,6,5,20,23,16,17,14,13,0.0,0.0,1,1,1610612765,Detroit Pistons,DET
2025-26,55,42,37.3,84.5,12.6,36.3,22.1,27.8,11.4,29.8,41.2,23.1,16.5,9.1,5.7,21.8,109.3,8.2,240.9,13,0.764,0.442,0.347,0.793,27,2,30,1,19,1,1,2,8,12,5,30,30,22,14,3,4,1,30,26,27,29,3,2,0.0,0.0,1,1,1610612765,Detroit Pistons,DET
2023-24,78,20,43.4,87.7,13.6,36.1,16.5,20.7,10.7,34.7,45.4,28.8,13.7,7.1,4.8,17.4,116.8,-10.1,240.6,58,0.256,0.494,0.376,0.794,1,27,3,27,23,22,12,28,24,19,25,11,9,25,14,27,27,28,15,10,9,2,22,30,0.0,0.0,1,1,1610612766,Charlotte Hornets,CHA
2024-25,80,18,41.6,88.9,14.2,40.0,17.0,21.5,11.2,33.8,45.0,26.7,12.4,8.8,5.3,18.2,114.3,-8.9,240.9,62,0.225,0.468,0.355,0.79,29,29,3,29,18,15,15,17,21,28,8,16,14,25,15,22,20,16,7,22,22,9,16,27,0.0,0.0,1,1,1610612766,Charlotte Hornets,CHA
2025-26,58,27,42.1,88.8,13.0,35.5,16.5,20.5,10.2,29.2,39.4,26.9,12.1,8.7,4.6,20.3,113.7,1.9,241.3,31,0.466,0.474,0.366,0.804,2,19,10,20,11,16,14,19,11,7,23,2,1,30,2,2,1,14,2,16,8,17,10,12,0.0,0.0,1,1,1610612766,Charlotte Hornets,CHA
