TEAM_ID,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PF_RANK,PTS_RANK,PLUS_MINUS_RANK,BLKA,PFD,BLKA_RANK,PFD_RANK,TEAM_ABBREVIATION
1610612742,Dallas Mavericks,2023-24,78,48.0,240.3,43.1,89.6,14.6,39.5,16.8,22.4,9.6,33.5,43.1,25.6,12.5,6.9,5.0,18.2,117.6,2.7,30.0,0.615,0.481,0.368,0.753,102.2,1,6,6,6,26,8,13,11,3,2,13,17,11,29,23,11,17,20,4,23,16,9,7,11,0.0,0.0,1,1,DAL
1610612742,Dallas Mavericks,2024-25,82,39.0,240.6,42.0,87.7,12.4,34.2,17.8,23.1,10.1,33.0,43.0,25.2,13.3,7.8,5.4,17.8,114.2,-1.2,43.0,0.476,0.479,0.364,0.77,100.8,2,18,18,18,23,12,21,9,26,26,15,6,6,23,24,16,23,22,16,20,7,8,15,19,0.0,0.0,1,1,DAL
1610612742,Dallas Mavericks,2025-26,63,21.0,242.0,41.8,89.1,10.7,31.2,19.0,25.6,10.0,34.7,44.7,24.9,14.2,7.4,5.3,18.2,113.3,-4.3,42.0,0.333,0.469,0.342,0.742,103.7,9,24,24,24,6,17,20,14,29,28,27,14,5,29,25,3,9,24,20,25,9,1,23,23,0.0,0.0,1,1,DAL
1610612743,Denver Nuggets,2023-24,78,55.0,240.3,44.1,88.8,11.8,31.2,15.1,19.8,10.6,33.7,44.4,29.5,12.5,7.2,5.7,18.2,115.2,5.7,23.0,0.705,0.497,0.378,0.764,99.2,1,3,3,3,26,3,17,4,24,29,7,29,28,23,14,9,7,3,4,21,9,9,13,4,0.0,0.0,1,1,DEN
1610612743,Denver Nuggets,2024-25,82,50.0,242.1,45.4,89.8,12.0,31.9,17.9,23.3,11.2,34.5,45.7,31.0,13.5,8.0,4.9,17.6,120.8,3.9,32.0,0.61,0.506,0.376,0.77,101.4,2,6,7,7,4,1,14,1,27,30,5,4,1,23,12,3,4,1,17,17,15,6,3,9,0.0,0.0,1,1,DEN
1610612743,Denver Nuggets,2025-26,64,39.0,242.7,42.7,86.7,13.7,35.1,21.2,26.2,9.7,33.4,43.0,28.0,12.4,6.9,4.0,18.9,120.2,3.7,25.0,0.609,0.492,0.389,0.808,99.8,2,7,9,9,3,8,26,2,12,21,1,2,4,5,26,9,21,9,3,30,27,7,1,9,0.0,0.0,1,1,DEN
1610612744,Golden State Warriors,2023-24,78,44.0,241.9,43.8,91.9,14.7,38.8,15.4,19.8,12.2,34.6,46.8,29.2,14.0,6.9,4.7,19.2,117.6,2.7,34.0,0.564,0.476,0.378,0.776,101.6,1,12,13,13,7,5,3,14,2,4,7,27,28,17,4,3,1,4,21,23,20,22,7,11,0.0,0.0,1,1,GSW
1610612744,Golden State Warriors,2024-25,82,48.0,240.6,40.8,90.4,15.4,42.4,16.9,22.1,12.5,32.8,45.4,29.1,13.2,9.4,4.8,19.2,113.8,3.3,34.0,0.585,0.451,0.364,0.764,100.5,2,11,11,11,23,21,8,25,3,2,15,16,13,25,5,19,6,4,13,3,16,23,16,10,0.0,0.0,1,1,GSW
1610612744,Golden State Warriors,2025-26,62,32.0,241.2,41.2,89.3,16.3,45.3,16.7,20.7,11.2,31.6,42.9,29.2,14.9,9.9,4.4,19.8,115.3,1.3,30.0,0.516,0.461,0.36,0.805,101.6,20,16,16,16,10,21,16,22,1,1,13,25,27,6,16,20,23,3,26,3,22,13,16,13,0.0,0.0,1,1,GSW
1610612745,Houston Rockets,2023-24,78,39.0,242.2,41.9,91.2,12.9,36.4,18.1,23.4,11.6,33.9,45.5,24.8,12.7,7.9,4.5,20.6,114.8,1.4,39.0,0.5,0.459,0.353,0.773,101.7,1,19,19,19,4,18,5,27,13,10,23,8,4,20,6,8,4,26,7,7,23,28,15,18,0.0,0.0,1,1,HOU
